team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip,team_oaa,team_frp,n_players
ATH,2023,0.035,5.568,1.852,0.3507,0.601,161,-170.1699999931734,170.1699999931734,161,4263.0,0.30765432098765433,4263,-25,-18,19
ATL,2023,0.3,49.436,1.637,0.3793,0.667,165,22.74000241374597,-22.74000241374597,165,4077.0,0.30188192833204436,4077,-16,-10,15
AZ,2023,0.416,73.184,1.909,0.3438,0.599,176,-10.286999492556788,10.286999492556788,176,4521.0,0.2928471899674872,4521,34,27,15
BAL,2023,0.605,99.207,1.84,0.3521,0.641,164,60.25500044925138,-60.25500044925138,164,4180.0,0.29289644822411204,4180,-10,-6,17
BOS,2023,-0.143,-23.058,1.837,0.3524,0.613,161,-35.04999940015841,35.04999940015841,161,4129.0,0.3046138159571756,4129,-36,-29,18
CHC,2023,0.597,96.055,1.879,0.3474,0.658,161,33.46400046302006,-33.46400046302006,161,4113.0,0.2910523640061007,4113,21,13,17
CIN,2023,-0.021,-3.357,1.985,0.335,0.6,161,-107.78000069560949,107.78000069560949,161,4211.0,0.3005012531328321,4211,-34,-27,23
CLE,2023,0.497,79.499,1.772,0.3608,0.644,160,33.95700040622614,-33.95700040622614,160,4197.0,0.2896894409937888,4197,29,22,13
COL,2023,-0.208,-33.322,2.02,0.3312,0.634,160,-238.7769983158214,238.7769983158214,160,4464.0,0.3198581560283688,4464,14,13,17
CWS,2023,0.096,15.373,1.884,0.3467,0.635,160,-76.95499890146311,76.95499890146311,160,4046.0,0.2996870109546166,4046,-16,-13,18
DET,2023,0.557,89.665,2.193,0.3132,0.652,161,33.40499964612536,-33.40499964612536,161,4144.0,0.2851730234907805,4144,-14,-10,18
HOU,2023,0.396,67.653,1.863,0.3492,0.616,171,-3.309998469776474,3.309998469776474,171,4247.0,0.2870623292773777,4247,4,4,15
KC,2023,0.295,47.437,1.695,0.371,0.631,161,-72.46900008060038,72.46900008060038,161,4208.0,0.3026743314171457,4208,27,21,19
LAA,2023,0.147,23.608,2.094,0.3232,0.643,161,-75.93099931546021,75.93099931546021,161,4114.0,0.3019206145966709,4114,-10,-7,22
LAD,2023,0.494,80.52,2.058,0.327,0.613,163,51.222000360372476,-51.222000360372476,163,4129.0,0.2790104565161948,4129,-1,1,12
MIA,2023,0.202,32.751,1.768,0.3613,0.619,162,16.47200125583913,-16.47200125583913,162,4007.0,0.30249017038007864,4007,-29,-24,16
MIL,2023,0.767,125.086,1.715,0.3684,0.639,163,96.24599991890136,-96.24599991890136,163,4026.0,0.2680439330543933,4026,41,33,19
MIN,2023,0.116,19.294,1.697,0.3708,0.639,167,96.91400069789961,-96.91400069789961,167,4095.0,0.29272680544847085,4095,-13,-10,18
NYM,2023,0.127,20.256,1.637,0.3792,0.676,160,-15.320001419866458,15.320001419866458,160,3991.0,0.29679284963196634,3991,-11,-8,15
NYY,2023,0.491,79.119,1.716,0.3682,0.628,161,51.52199918858241,-51.52199918858241,161,4026.0,0.28008352910467244,4026,-2,-4,17
PHI,2023,0.242,42.043,1.804,0.3567,0.646,174,89.23400023637805,-89.23400023637805,174,4381.0,0.2883054892601432,4381,7,6,17
PIT,2023,0.46,73.984,1.703,0.37,0.63,161,-27.65899920312222,27.65899920312222,161,4175.0,0.29897423067300477,4175,10,6,19
SD,2023,0.494,79.078,1.674,0.374,0.668,160,85.47300015820656,-85.47300015820656,160,3947.0,0.28435266084193805,3947,29,22,18
SEA,2023,0.451,72.227,1.781,0.3596,0.652,160,95.76500097708777,-95.76500097708777,160,4011.0,0.287170107133525,4011,18,13,13
SF,2023,0.25,40.281,1.932,0.3411,0.65,161,38.22000139427837,-38.22000139427837,161,4183.0,0.30309072781655033,4183,15,11,22
STL,2023,0.099,16.012,1.783,0.3593,0.625,161,-92.04299842542969,92.04299842542969,161,4428.0,0.31795716639209226,4428,-10,-10,19
TB,2023,0.47,76.53,1.932,0.3411,0.625,163,99.9039998059161,-99.9039998059161,163,4012.0,0.28567701539264284,4012,-3,-4,17
TEX,2023,0.457,80.852,1.875,0.3478,0.67,177,57.66300135082565,-57.66300135082565,177,4541.0,0.28782628782628783,4542,33,27,16
TOR,2023,0.39,63.594,1.71,0.369,0.64,163,72.05200093821622,-72.05200093821622,163,4024.0,0.2940407736539467,4024,8,9,16
WSH,2023,0.311,50.077,1.899,0.3449,0.653,161,-128.5509969436098,128.5509969436098,161,4368.0,0.30439000727625515,4368,-8,-2,18
ATH,2024,0.147,24.773,1.907,0.344,0.637,168,-36.353997603291646,36.353997603291646,168,4421.0,0.295004712535344,4421,-42,-35,18
ATL,2024,0.353,59.929,1.843,0.3518,0.674,170,86.87299934215844,-86.87299934215844,170,4107.0,0.30058242593061535,4107,-3,0,16
AZ,2024,0.424,71.603,1.861,0.3496,0.625,169,-62.42499896627851,62.42499896627851,169,4518.0,0.30945227640397505,4518,40,31,15
BAL,2024,0.486,82.172,1.79,0.3584,0.646,169,39.24800130072981,-39.24800130072981,169,4337.0,0.28478731074260993,4337,-6,-2,16
BOS,2024,0.288,48.737,1.832,0.3531,0.671,169,10.322000631131232,-10.322000631131232,169,4423.0,0.2873019626389217,4423,-20,-13,18
CHC,2024,0.418,71.121,1.807,0.3562,0.682,170,21.923999555408955,-21.923999555408955,170,4352.0,0.2870526062935383,4354,33,26,15
CIN,2024,0.179,30.129,1.65,0.3773,0.633,168,-34.6199998750817,34.6199998750817,168,4258.0,0.2843040473840079,4258,-10,-7,20
CLE,2024,0.555,98.31,1.649,0.3775,0.6,177,34.738000753102824,-34.738000753102824,177,4310.0,0.27716994894237784,4310,16,10,16
COL,2024,0.188,31.732,2.004,0.3329,0.667,169,-219.2319989921525,219.2319989921525,169,4759.0,0.317428760768721,4759,8,6,18
CWS,2024,-0.052,-8.728,2.013,0.3319,0.631,168,-128.47700049588457,128.47700049588457,168,4317.0,0.2990995376003894,4317,-24,-17,18
DET,2024,0.586,103.077,1.866,0.3489,0.672,176,92.20300080766901,-92.20300080766901,176,4477.0,0.27904275092936803,4477,21,18,17
HOU,2024,0.283,46.916,1.886,0.3466,0.658,166,43.90300116757862,-43.90300116757862,166,4046.0,0.2824961160020715,4046,-2,1,18
KC,2024,0.667,115.334,1.704,0.3699,0.66,173,55.95200082403608,-55.95200082403608,173,4399.0,0.29163722025912836,4399,31,22,17
LAA,2024,0.474,80.076,1.72,0.3677,0.638,169,-75.07400035625324,75.07400035625324,169,4367.0,0.28221153846153846,4367,-33,-23,24
LAD,2024,0.715,129.477,1.799,0.3573,0.638,181,10.041999720968306,-10.041999720968306,181,4591.0,0.2746623941405356,4591,-2,-2,11
MIA,2024,0.146,24.013,1.769,0.3611,0.632,165,-121.22299923328683,121.22299923328683,165,4383.0,0.30076445293836596,4383,-10,-9,15
MIL,2024,0.626,107.736,1.762,0.3621,0.68,172,34.122999931452796,-34.122999931452796,172,4383.0,0.2783628530397319,4383,33,25,19
MIN,2024,0.18,30.219,1.656,0.3765,0.652,168,8.20099984924309,-8.20099984924309,168,4231.0,0.29511044924298835,4231,3,0,19
NYM,2024,0.554,100.838,1.728,0.3665,0.663,182,6.62499992409721,-6.62499992409721,182,4453.0,0.28064819163926724,4453,6,5,14
NYY,2024,0.47,86.016,1.849,0.351,0.629,183,25.55599979381077,-25.55599979381077,183,4583.0,0.2804015514487794,4583,4,3,14
PHI,2024,0.306,52.704,1.829,0.3535,0.661,172,12.119999401038513,-12.119999401038513,172,4366.0,0.29544364508393284,4366,9,7,13
PIT,2024,0.273,45.558,1.824,0.3541,0.644,167,-40.5909986149054,40.5909986149054,167,4315.0,0.29840656687590533,4315,-14,-13,19
SD,2024,0.376,64.317,1.837,0.3524,0.655,171,58.96699979505502,-58.96699979505502,171,4251.0,0.2899975423937085,4251,9,7,18
SEA,2024,0.675,114.086,1.744,0.3645,0.624,169,129.54800105420873,-129.54800105420873,169,4132.0,0.2614876872302615,4132,-9,-5,16
SF,2024,0.214,36.127,1.71,0.369,0.678,169,9.701999288750812,-9.701999288750812,169,4214.0,0.30482996550024644,4214,-11,-9,18
STL,2024,0.513,86.239,1.873,0.348,0.644,168,3.818000800907612,-3.818000800907612,168,4394.0,0.2939501779359431,4394,19,13,15
TB,2024,0.472,79.27,1.746,0.3641,0.676,168,51.757001406280324,-51.757001406280324,168,4235.0,0.27901785714285715,4235,22,19,14
TEX,2024,0.645,108.423,1.787,0.3588,0.657,168,-12.980998338665813,12.980998338665813,168,4275.0,0.2860653723273532,4275,25,18,17
TOR,2024,0.647,109.265,2.026,0.3305,0.633,169,-30.836000607116148,30.836000607116148,169,4315.0,0.2810441571114906,4315,8,8,14
WSH,2024,0.284,47.369,1.78,0.3597,0.679,167,-45.490999061847106,45.490999061847106,167,4417.0,0.3088339222614841,4417,4,4,15
